productCategory,bidStart,bidEnd,productTitle,productDescription,totalQty,budgetDisclosure,budget,warrantyType,warrantyPeriod,vendorLocation,experienceExceptions,bidStatus
IT,2024-07-01T09:00:00Z,2024-07-10T17:00:00Z,Laptops,High performance laptops for office use,100,Yes,500000,OEM,1,Anywhere from India,None,Published
Electrical,2024-06-25T10:00:00Z,2024-07-05T15:00:00Z,Cables,High quality electrical cables,1000,No,,OEM,2,Anywhere from State,None,Published
Furniture,2024-06-20T08:00:00Z,2024-07-01T17:00:00Z,Office Desks,Ergonomic office desks,50,Yes,200000,Vendor,3,Same City,None,Published
Civil,2024-06-18T09:00:00Z,2024-06-30T17:00:00Z,Construction Materials,High quality construction materials,500,No,,Vendor,5,Anywhere from India,None,Published
IT,2024-07-01T09:00:00Z,2024-07-10T17:00:00Z,Laptops,High performance laptops for office use,100,Yes,500000,OEM,1,Anywhere from India,None,Published
Electrical,2024-06-25T10:00:00Z,2024-07-05T15:00:00Z,Cables,High quality electrical cables,1000,No,,OEM,2,Anywhere from State,None,Published
Furniture,2024-06-20T08:00:00Z,2024-07-01T17:00:00Z,Office Desks,Ergonomic office desks,50,Yes,200000,Vendor,3,Same City,None,Published
Civil,2024-06-18T09:00:00Z,2024-06-30T17:00:00Z,Construction Materials,High quality construction materials,500,No,,Vendor,5,Anywhere from India,None,Published
IT,2024-07-05T10:00:00Z,2024-07-15T15:00:00Z,Printers,Advanced laser printers for office use,200,Yes,300000,OEM,1,Anywhere from India,None,Published
